2026-05-16 00:58:34,705 | INFO | ai.pipeline | ============================================================
2026-05-16 00:58:38,527 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 00:58:38,602 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 00:58:38,682 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 00:58:38,762 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 00:58:38,836 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 00:58:38,916 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 00:58:38,993 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 00:58:39,069 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 20]
2026-05-16 00:58:39,147 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 20]
2026-05-16 00:58:39,227 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20]
2026-05-16 00:58:39,304 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 20, 22]
2026-05-16 00:58:39,382 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,459 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,535 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,615 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,698 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,770 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,844 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:39,924 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19, 20, 22]
2026-05-16 00:58:40,002 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,080 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,156 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,232 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,308 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,389 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,465 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,543 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,622 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,698 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,775 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,856 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:40,932 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:41,009 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:41,083 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24]
2026-05-16 00:58:41,164 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 13, 16, 19, 20, 22, 24, 28]
2026-05-16 00:58:41,243 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 16, 19, 20, 22, 24, 28]
2026-05-16 00:58:41,320 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 16, 19, 20, 22, 24, 28]
2026-05-16 00:58:41,396 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 16, 19, 20, 24, 28]
2026-05-16 00:58:41,483 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 22, 24, 28]
2026-05-16 00:58:41,554 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28]
2026-05-16 00:58:41,632 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 22, 24, 28]
2026-05-16 00:58:41,706 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:41,784 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:41,864 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:41,941 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:42,020 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:42,095 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32]
2026-05-16 00:58:42,174 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,252 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,326 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,406 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,486 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,564 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,639 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,717 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 24, 28, 32, 34]
2026-05-16 00:58:42,792 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:42,872 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:42,951 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 24, 28, 32, 34, 36]
2026-05-16 00:58:43,029 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,029 | WARNING | ai.pipeline | Wrong-way vehicle — track IDs: [4]
2026-05-16 00:58:43,103 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34, 36]
2026-05-16 00:58:43,183 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,262 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,338 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,422 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 16, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,491 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,573 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34, 36]
2026-05-16 00:58:43,649 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,729 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34, 36]
2026-05-16 00:58:43,803 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34]
2026-05-16 00:58:43,883 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34, 36]
2026-05-16 00:58:43,960 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 34, 36]
2026-05-16 00:58:44,037 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 33, 34, 36]
2026-05-16 00:58:44,112 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 33, 36]
2026-05-16 00:58:44,189 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 33, 36]
2026-05-16 00:58:44,270 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 28, 32, 33, 34, 36]
2026-05-16 00:58:44,342 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 32, 33, 34, 36]
2026-05-16 00:58:44,425 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 6, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,502 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,580 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,656 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,738 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,811 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36]
2026-05-16 00:58:44,812 | INFO | ai.analytics.event_logger | Snapshot saved: outputs/snapshot_1778873324.json
2026-05-16 00:58:44,888 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 40]
2026-05-16 00:58:44,965 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 40]
2026-05-16 00:58:45,043 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 40]
2026-05-16 00:58:45,121 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 40]
2026-05-16 00:58:45,209 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 40]
2026-05-16 00:58:45,285 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40]
2026-05-16 00:58:45,356 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40]
2026-05-16 00:58:45,435 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40]
2026-05-16 00:58:45,510 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40]
2026-05-16 00:58:45,590 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:45,670 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:45,747 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:45,831 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:45,904 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:45,984 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:46,057 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42]
2026-05-16 00:58:46,138 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,215 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,298 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,374 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,450 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,523 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,601 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,678 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 19, 20, 32, 33, 36, 39, 40, 42, 43]
2026-05-16 00:58:46,758 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 19, 20, 32, 36, 39, 40, 42, 43, 45]
2026-05-16 00:58:46,834 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 19, 20, 32, 36, 39, 40, 42, 45]
2026-05-16 00:58:46,907 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 45, 47]
2026-05-16 00:58:46,986 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 43, 45, 47]
2026-05-16 00:58:47,064 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 43, 45, 47]
2026-05-16 00:58:47,141 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 45]
2026-05-16 00:58:47,218 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 43, 45]
2026-05-16 00:58:47,297 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 43, 45]
2026-05-16 00:58:47,376 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 40, 42, 43, 45, 47]
2026-05-16 00:58:47,455 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 42, 43, 45]
2026-05-16 00:58:47,531 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 42, 43, 45]
2026-05-16 00:58:47,607 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 42, 43, 45, 47]
2026-05-16 00:58:47,686 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 39, 42, 43, 45, 47]
2026-05-16 00:58:47,767 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:47,845 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:47,921 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:47,997 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,072 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,144 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,229 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,304 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,384 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,455 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,532 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,610 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,688 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,765 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:48,840 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,922 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:48,993 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,070 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,150 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,229 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,526 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 45, 47]
2026-05-16 00:58:49,602 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,684 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,760 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,833 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,911 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:49,989 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,069 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,140 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 47]
2026-05-16 00:58:50,219 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,300 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,376 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,450 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,531 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,608 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,686 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47]
2026-05-16 00:58:50,762 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:50,839 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:50,920 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:50,997 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:51,071 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:51,148 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
2026-05-16 00:58:51,227 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [19, 20, 32, 36, 42, 43, 47, 49]
